"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","sampled"
"11","WH9SJ44S","journalArticle",2019,"Figueiredo, Diego H.; Figueiredo, Diogo H.; Moreira, Alexandre; Gongalves, Helcio R.; Stanganelli, Luiz C. R.","Effect of Overload and Tapering on Individual Heart Rate Variability, Stress Tolerance, and Intermittent Running Performance in Soccer Players During a Preseason","Journal of Strength & Conditioning Research",NA,"10648011","",NA,"Effect of overload and tapering on individual heart rate variability, stress tolerance, and intermittent running performance in soccer players during a preseason. J Strength Cond Res 33(5): 1222-1231,2019—This study evaluates the weekly natural log of the root-mean-square difference of successive R-R intervals (lnRMSSDmean), its coefficient of variation (lnRMSSDcv), training load (TL), stress tolerance (ST), and changes in intermittent running performance in response to a 2-week overload (OL) followed by a 1 -week taper (TP) during a preseason. Additionally, we determined the relationships between these variables. Ultra-short InRMSSD, psychometric responses, and ratings of perceived exertion were evaluated daily among 16 under-19 soccer players. At the end of each training phase, the athletes performed the Yo- Yo Intermittent Recovery test level 1 (Yo-Yo). Group analysis showed a decrease in lnRMSSDmean and ST, increases in lnRMSSDcv, and decreases in the Yo-Yo during OL, with a return to baseline levels and a trivial increase in the Yo-Yo during TP. Small to very large correlations were found between lnRMSSDmean and lnRMSSDcv values, with changes in Yo-Yo, TL, monotony, and strain during the preseason (rvalues ranging from -0 .2 7 to 0.82). No correlation was found between InRMSSD responses and ST. During OL, athletes with decreases in lnRMSSDmean and increases in lnRMSSDcv accumulated higher perceived TL, with higher monotony and overall stress, and presented a decrease in ST and intermittent running performance, interpreted as a negative adaptation in response to the maintenance of higher TL. During TP, these responses were reversed, leading to an increase in intermittent running performance. In addition, subjective measures of ST may be used to provide early indicators of training adaptation in soccer players. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:16:36","2020-05-20 00:16:36",NA,"1222-1231",NA,"5","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=138717881&site=ehost-live&scope=site","DESCRIPTIVE statistics; monitoring; fatigue; *PHYSIOLOGICAL stress; *SOCCER; *ATHLETIC ability; *FATIGUE; *EXERCISE intensity; *RUNNING; CORRELATION (Statistics); *PATIENT monitoring; PSYCHOMETRICS; OBSERVATION (Scientific method); *AUTONOMIC nervous system; *HEART beat; autonomic nervous system; parasympathetic nervous system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12","WYSHTXD6","journalArticle",2019,"Vonnard, Philippe","From Mitropa Cup to UEFA Cup: the role of UEFA in the establishment of a European scale in football, 1927–1972","Soccer & Society",NA,"14660970","",NA,"Since the 1920s, many European exchanges began to exist in the domain of football. However, it was during the 1950s that a European scale was established primarily due to the creation of UEFA (Union of European Football Associations) in 1954, which quickly organized the first European tournament in the game's history– The European Champions Clubs' Cup. The present essay argues that Europeanization of the game has to be understood in a long-term perspective. The papers examines the creation and development of three competitions as key defining events, which represented different stages of the Europeanization of the game: Mitropa Cup (created in 1927), European Champion Clubs' Cup (created in 1955) and UEFA Cup (created in 1971). Thus, afocus on these cases can help us better understand the background of the Europeanization of the game which happened during the 1990s. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:23:30","2020-05-20 00:23:30",NA,"1025-1040",NA,"7/8","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139617847&site=ehost-live&scope=site","*SPORTS; *SOCCER tournaments; *SOCCER teams; UNION of European Football Associations; EUROPEANIZATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13","23WIF5YL","journalArticle",2019,"Almeida, João; Sarmento, Hugo; Kelly, Seamus; Travassos, Bruno","Coach decision-making in Futsal: from preparation to competition","International Journal of Performance Analysis in Sport",NA,"14748185","",NA,"The purpose of this paper was to analyse expert futsal coaches process of decision-making from preparation to competitive moments. Ten expert and professional coaches' (M = 46,9 ± 7,93 years old andM= 15,4 ± 7,22 years of coaching experience) from different countries were interviewed using asemi-structured interview (quantitative and qualitative) with two different goals: (1) evaluate the preparation for decision-making moment during the game; (2) classifying the importance of different game related points for decision-making during match moment. The data analysis was processed through combination of deductive and inductive methods through software QSR NVivo 11. The results revealed that coaches' share similar ideas when preparing their teams. Coaches focus first their attention on their own team identity and frame andsecond on opposition team behaviour and frame. It was also possible to identify clear coaching behavioural signs possible to be structured as cues and guiding lines for their decision-making process and actions before and during competitive moments. Such information can be important for the development of most appropriated coaching education curriculums according to game demands specificities. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:11:04","2020-05-20 00:11:04",NA,"711-723",NA,"5","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=138769589&site=ehost-live&scope=site","*INDOOR soccer; coaching; *COACHES (Athletics); CURRICULA (Courses of study); EDUCATIONAL coaching; game management; game plan; scouting; Team sports; WILDLIFE management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14","XFAVY3P2","journalArticle",2019,"Pardos- Mainer, Elena; Casajús, José Antonio; Gonzalo-Skok, Oiver","Reliability and sensitivity of jumping, linear sprinting and change of direction ability tests in adolescent female football players","Science & Medicine in Football",NA,"24734446","",NA,"Purpose: The aim of this study was to assess the reliability, sensitivity and performance changes across the season of jumping, linear sprinting and change of direction ability (CODA) tests in adolescent female football players. Materials and methods: A total of 60 female football players (U-16 and U-18) performed bilateral and unilateral countermovement jump tests, a single leg hop test, a 40-m linear speed test, and two CODA tests on two occasions separated by 5–7 days to assess test-retest reliability. Furthermore, test sensitivity was also calculated. Finally, 52 players performed each test three times throughout the season to analyse those performance changes. Results: Reliability scores showed a priori acceptable values in U-16 (ICC = 0.76–0.94; CV = 1.0–4.8%) and U-18 (ICC = 0.75–0.99; CV = 1.0–3.6%) in all tests. All tests were sensitive to detect large changes at both short- and mid-term with the exception of the V-cut test (only at short-tem) in both groups. Seasonal changes were mainly produced between baseline and Test 3 in linear sprinting and jumping measurements in U-16 and U-18, respectively. Conclusions: Jumping, linear sprinting and CODA tests are reliable and can detect moderate to large performance changes and they could be used to monitor their performance in U-16 and U-18 female football players. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:41:09","2020-05-20 00:41:09",NA,"183-190",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=137542275&site=ehost-live&scope=site","youth; Team sports; change of direction; high-intensity; linear speed; lower body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"15","XPB34V75","journalArticle",2019,"Macartney, Gail; Chen, Wesley; Vassilyadi, Michael; Zemek, Roger; Aglipay, Mary; Macartney, Annie; Lanos, Michael; Goulet, Kristian","The effect of the Parachute™ Awareness for Players Program on the acquisition of concussion knowledge and attitude in children who play soccer","Canadian Journal of Neuroscience Nursing",NA,"1913-7176","",NA,"Objective: A cluster randomized, controlled trial design was used to compare the effectiveness of the presentation of the Parachute™ Concussion Awareness for Players (PCAP) course slides content (intervention) with the provision of Parachute™ written concussion information alone (control). The study was conducted at the training facility of a community soccer association in the Ottawa area. Participants: A convenience sample of 83 soccer players between the ages of 10 to 14 was recruited over 4 consecutive weeks of summer soccer camp. Main outcome measures: Concussion knowledge and attitudes were measured using the Concussion Knowledge and Attitude Questionnaire (CKAT) before, after and at one-month post education. Objectif : Un essai contrôlé randomisé par groupe a servi à comparer l'efficacité de la présentation par diapositives du cours de ParachuteMC intitulé «Sensibilisation aux commotions cérébrales pour les sportifs» (SCCS) (groupe d'intervention), comparativement au fait de fournir uniquement les informations écrites de ParachuteMC sur les commotions cérébrales (groupe témoin). Cette étude a été menée au centre d'entraînement d'une association communautaire de soccer de la région d'Ottawa. Participants : Un échantillon de commodité de 83 joueurs de soccer âgés de 10 à 14 ans a été recruté au cours des 4 semaines consécutives d'un camp d'été de soccer. Mesures principales des résultats : Les connaissances et les attitudes vis-à-vis des commotions cérébrales ont été mesurées à l'aide du Concussion Knowledge and Attitude Questionnaire (CKAT) avant et après la formation, ainsi qu'un mois suivant cette dernière. Results: The provision of the standardized PCAP concussion education program resulted in a statistically significant increase in mean knowledge scores (p=0.004) compared to the provision of standardized written material. A significant effect of time (p<0.001) was noted in both the intervention and control groups demonstrating a higher attitude score after the education. Conclusions: The provision of standardized core curriculum to children improved their ability to appropriately identify concussion symptoms. Regardless of how standardized education was provided, improvement in concussion attitude scores was noted. Increasing children's general attitude toward concussion may empower them to report their symptoms to a parent or coach. Résultats : La mise en œuvre du programme éducatif normalisé sur les commotions cérébrales SCCS de ParachuteMC a entraîné une augmentation statistique considérable des scores de connaissances moyens (p=0,004) par rapport à la présentation de matériel écrit normalisé. On a noté un effet de temps considérable (p<0,001) dans le groupe d'intervention comme dans le groupe témoin, qui ont obtenu un score d'attitude plus élevé à la suite de la formation. Conclusions : La mise en œuvre d'un programme éducatif de base normalisé chez les enfants a amélioré leurs capacités à reconnaître les symptômes d'une commotion cérébrale. La formation, peu importe la méthode utilisée, a permis d'augmenter les scores d'attitude vis-à-vis des commotions cérébrales. Améliorer l'attitude globale des enfants à l'égard des commotions cérébrales peut leur fournir les moyens nécessaires pour signaler leurs symptômes à un parent ou à un entraîneur.","2019","2020-05-20 00:17:03","2020-05-20 00:17:03",NA,"14-22",NA,"1","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"c8h",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=136478353&site=ehost-live&scope=site","Female; Male; Confidence Intervals; Data Analysis Software; Human; Descriptive Statistics; Questionnaires; Adolescence; Random Assignment; Randomized Controlled Trials; Analysis of Variance; Athletes -- Education -- In Infancy and Childhood; Attitude -- In Infancy and Childhood; Brain Concussion -- Education; Camps; Canada; Child; Cluster Sample; Construct Validity; Convenience Sample; Curriculum; Empowerment; Exploratory Research; Face Validity; Health Knowledge; Paired T-Tests; Play and Playthings -- Utilization; Pretest-Posttest Design; Repeated Measures; Soccer -- In Infancy and Childhood -- Canada; Summated Rating Scaling; Teaching Materials; Teaching Methods; Test-Retest Reliability; Univariate Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16","W5UZ8FS4","journalArticle",2019,"Karatrantou, Konstantina; Gerodimos, Vassilis; Katsareli, Eleftheria; Manouras, Nikolaos; Ioakimidis, Panagiotis; Famisis, Konstantinos","Strength Profile of Hip Abductor and Adductor Muscles in Youth Elite Soccer Players","Journal of Human Kinetics",NA,"16405544","",NA,"The main objective of this study was to provide an extensive isokinetic profile of the hip joint in youth soccer players, where the literature is limited. Additionally, this study investigated the effect of age on isokinetic peak torque values of hip abductor and adductor muscles and on reciprocal muscle group torque ratios in youth soccer players at different angular velocities (30 vs. 90o/s) and muscle actions (concentric vs. eccentric). Sixty young elite male soccer players were assigned into three equal groups (n = 20): children, young adolescents and older adolescents, and performed five maximal concentric and eccentric hip-abductions and adductions at 30o/s and 90o/s. The results showed a significant increase (p < 0.05) in peak torque values from childhood to adolescence, with the exception of young adolescents vs. older adolescents where no differences were observed. The reciprocal ratios were not affected by age, but improved with an increase in angular velocity with the exception of the CON/ECC ratio that was higher at 30o/s. The data presented in this study provide an extensive isokinetic profile of hip abductor and adductor muscle strength in youth soccer players to assist both coaches and sports medicine professionals in strength monitoring and training. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:47:33","2020-05-20 00:47:33",NA,"31-41",NA,"1","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135775909&site=ehost-live&scope=site","*PHYSICAL training & conditioning; *SOCCER players; *MUSCLE strength; *PHYSICAL fitness; injury prevention; *SPORTS medicine; age-effect; isokinetic; peak torque; reciprocal muscle group ratios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17","HPMDL4TM","journalArticle",2019,"Xie, Y.; Cai, X.","Application analysis of micro video resources in football teaching","Basic and Clinical Pharmacology and Toxicology",NA,"1742-7843","",NA,"Objectives: With the continuous development and progress of the times and society, all kinds of science and technology have been upgraded. Therefore, under such circumstances, all kinds of science and technology have been promoted to be widely applied in all fields, and eventually to be widely popularized. Under this background, in the field of education in our country, with the in-depth popularization of Internet information technology, the era of multimedia education has thus emerged. Micro-video transmits information to the outside world through multimedia methods such as images, animations and pictures. Due to its short, precise and fast characteristics, micro-video is more suitable for people's needs in the current fast pace of life. Under such circumstances, this technology has been widely and effectively applied in the field of education. On the basis of in-depth reform of the education system, the teaching mode of micro-class video has also been applied to school physical education. Methods: Students can also feedback their knowledge to teachers through micro-videos. In this case, teachers can give targeted guidance to students' actions. Such as WeChat video, which is widely used at present, after-class exercises can effectively improve the training level of students, and correct and efficient learning guidance for students through micro video can not only improve the training level of students, but also increase the affection between teachers and students. Results: For this reason, this paper first makes an in-depth analysis of the advantages of micro-video resources teaching, and then makes a detailed exploration of the application of micro-video resources in football classroom teaching and technical teaching on this basis, hoping to lay a foundation for the continuous improvement of football teaching effectiveness and quality, the improvement of students' learning enthusiasm and the long-term development of football. Conclusions: In general, the reasonable application of micro-video resources to sports football teaching can enrich the teaching content of sports courses, which plays a positive and auxiliary role in both theoretical teaching and practical teaching. This teaching method can more effectively stimulate students' interest in learning sports football, improve students' learning ability, reduce teachers' teaching pressure to varying degrees, and improve teachers' teaching effect and quality. It is a scientific and technological teaching method used by non-value educators.","2019","2020-05-20 00:08:13","2020-05-20 00:08:13",NA,"68-69",NA,"SUPPL, 9","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase",NA,NA,NA,"","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L631567213","conference abstract; human; human experiment; theoretical study; football; exercise; sport; learning; multimedia; teacher; teaching; videorecording",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18","N77HMRZJ","journalArticle",2019,"Gebert, A.; Gerber, M.; Pühse, U.; Stamm, H.; Lamprecht, M.","Injury prevention in Amateur soccer: A nation-wide study on implementation and associations with injury incidence","International Journal of Environmental Research and Public Health",NA,"1660-4601 1661-7827","10.3390/ijerph16091593",NA,"Prevention programmes can reduce injury risk in amateur soccer. Hence, we examined the implementation of injury prevention in the real-world context of Swiss amateur soccer. In 2004 (n = 1029), 2008 (n = 705) and 2015 (n = 1008), a representative sample of Swiss amateur soccer coaches was interviewed by telephone about the frequency of injuries in their teams, the implementation of preventive measures and the use of injury prevention programmes. In the 2015 survey, 86.1% of amateur coaches stated that injury prevention is important and 85.3% of amateur coaches reported that they would implement some kind of preventive measures. The proportion of teams which performed a prevention programme according to minimal standards remained unchanged between 2008 (21.7%) and 2015 (21.9%), although a second prevention programme was made available in 2011. Only 8.6% of the 30+/40+ league teams, which are composed as a function of age, implemented a programme. Overall, the level of implementation of prevention programmes in this real-world context is still unsatisfactory. Offering an additional programme did not lead to a higher willingness to implement such programmes among the coaches. Concerted efforts are needed to remove barriers that hinder the use of such programmes, particularly among coaches of 30+/40+ league teams.","2019","2020-05-20 00:27:32","2020-05-20 00:27:32",NA,"",NA,"9","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase Medline",NA,NA,NA,"; ","http://dx.doi.org/10.3390/ijerph16091593; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001881689","adult; female; human; male; article; soccer; soccer player; sport injury; incidence; major clinical study; adolescent; retrospective study; accident prevention; Switzerland; age distribution; preventive medicine; risk reduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19","UTUS2X3Z","journalArticle",2019,"Hoffman, A. J.","Football Coaching Relevance to Nursing Leadership: #Notahailmary!","Western journal of nursing research",NA,"1552-8456","10.1177/0193945919882657",NA,"","2019","2020-05-20 00:22:54","2020-05-20 00:22:54",NA,"1845-1854",NA,"12","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1177/0193945919882657; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629820302","human; article; football; leadership; nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20","8WXCZXEV","journalArticle",2019,"Morris, T. P.; McCracken, C.; Baggish, A.; Weisskopf, M.; Zafonte, R.; Taylor, H. A.; Nadler, L. M.; Speizer, F. E.; Pascual-Leone, A.","Multisystem afflictions in former National Football League players","American journal of industrial medicine",NA,"1097-0274","10.1002/ajim.22992",NA,"BACKGROUND: The long-term health consequences of participation in American style football (ASF) are not well understood. METHODS: We conducted a retrospective cohort study of men who had played in the NFL after 1960. Participants were studied using a standardized self-administered questionnaire designed to determine both the exposure history to ASF and the prevalence of chronic pain, sleep apnea, cardiometabolic disease, and neurocognitive impairment. Logistic regression and negative binomial regression models were used to assess associations between age, ethnicity, body-mass index during professional football career, field position, and football career duration with individual and multiple afflictions. RESULTS: In this cohort of former NFL players (n = 3745), approximately one quarter of the eligible former players (27%) reported two or more medical afflictions (chronic pain, cardiometabolic disease, sleep apnea, or neurocognitive impairment). Career duration was significantly associated with an increase in the number of comorbidities. Age, race, and body-mass index were associated with all affliction categories, other than neurocognitive impairment, which was similarly prevalent in middle-aged players and older players. Earlier age when first playing the sport was protective against cardiometabolic affliction. CONCLUSIONS: Former NFL players report significant combinations of cross-system afflictions. Future work will be required to determine mechanistic underpinnings. However, attention to the whole player, rather than specific organ systems seems critical to improve long-term health outcomes in former ASF professional athletes.","2019","2020-05-20 00:32:13","2020-05-20 00:32:13",NA,"655-662",NA,"8","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1002/ajim.22992; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628053276","adult; human; male; article; football; controlled study; major clinical study; athlete; body mass; cohort analysis; ethnicity; race; questionnaire; retrospective study; attention; prevalence; career; middle aged; comorbidity; aging; sleep disordered breathing; chronic pain; organ systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21","EMINJTSZ","journalArticle",2019,"Black, Georgia M.; Gabbett, Tim J.; Johnston, Rich D.; Cole, Michael H.; Naughton, Geraldine; Dawson, Brian","A skill profile of the national women's Australian football league (AFLW)","Science & Medicine in Football",NA,"24734446","",NA,"Objectives: To investigate the relationship between technical involvements and (1) winning margins, (2) losing margins and (3) ladder position in the national Australian Football League Women's competition (AFLW). Methods: The first season of AFLW technical data were analysed. All matches (n = 26) were separated into winning and losing subsets and score margins were recorded. To investigate the influence of technical involvements on overall performance, final ladder position was also recorded. Results: Uncontested possessions and the ratio between the number of times the ball was inside the attacking 50-m zone (inside 50s) and goals scored, were identified as the biggest predictors of match outcomes in the AFLW. Larger winning margins were associated with reduced marks ""inside 50"" and a lower inside 50: goals scored ratio. Kicks and contested marks demonstrated significant relationships with final ladder position, with these involvements decreasing as the ladder position moved closer to eight. Conclusions: Team game plans should promote the importance of finding space and completing a number of passes in the attacking 50-m zone to allow closer shots on goal. Further to this, coaches may need to draft players who are able to ""win"" marking contests to improve ladder position in the future seasons.. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:44:27","2020-05-20 00:44:27",NA,"138-142",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=136271109&site=ehost-live&scope=site","team sports; ladder position; match result; Technical involvements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22","NE2RYAXW","journalArticle",2019,"de Freitas, Victor Hugo; Rinaldo, Márcio; Guimarães Turquino, Guilherme; Miloski, Bernardo; de Paula Ramos, Solange","Training aimed at the development of power and physical performance of futsal players","Brazilian Journal of Kineanthropometry & Human Performance",NA,"1415-8426","10.1590/1980-0037.2019v21e60119",NA,"The aim of the study was to analyze the effect of a training period aimed at the development of lower limb power and physical performance of futsal players. The sample consisted of 10 futsal players from a professional team aged 23.70 ± 5.85 years, 72.33 ± 6.01 kg and 174.40 ± 0.05 cm. Players were monitored for a period of 4 training weeks, corresponding to the beginning of the competitive period. During this period, physical training sought to improve lower limb power. At the beginning and end of the training period, the following tests were performed: Squat jump (SJ), Countermovement jump (CMJ), 15-meter speed (Vel_15m) and Futsal Intermittent Endurance Test (FIET). The training load was monitored by the Session Perceived Exertion method. Weeks 1 and 3 presented higher training load than weeks 2 and 4 (p <0.01). In the post-training period, shorter running time in the Vel_15m test (p = 0.04), greater height in SJ (p <0.01) and CMJ (p <0.01) tests, and higher maximal speed in FIET (p = 0.04) were observed. It could be concluded that directing training at the beginning of the competitive season to improve power increases the lower limb power of futsal players, with consequent improvement of speed and the ability to perform intermittent actions at high intensities. O objetivo do estudo foi analisar o efeito de um período de treinamento direcionado ao desenvolvimento de potência de membros inferiores no desempenho físico de jogadores de futsal. A amostra foi composta por 10 jogadores de futsal de uma equipe profissional com 23,70 ± 5,85 anos, 72,33 ± 6,01 kg e 174,40 ± 0,05 cm. Os jogadores foram monitorados por um período de 4 semanas de treinamento, correspondente ao início do período competitivo. Neste período, o treinamento físico buscou aperfeiçoar a potência de membros inferiores. No início e ao término do período, foram realizados os testes: Squat jump (SJ), Countermovemt jump (CMJ), velocidade de 15 metros (Vel&lowbar;15m) e Futsal Intermitente Endurance Test (FIET). A carga de treinamento foi monitorada pelo método da percepção subjetiva de esforço da sessão. As semanas 1 e 3 apresentaram maior CTST que as semanas 2 e 4 (p < 0,01). No momento pós treinamento, observou-se menor tempo de corrida no teste de Vel&lowbar;15m (p = 0,04), maior altura nos testes SJ (p < 0,01) e CMJ (p < 0,01), e maior velocidade no FIET (p = 0,04). Pode-se concluir que direcionar o treinamento no início da temporada competitiva para melhora da potência proporciona incremento na potência de membros inferiores de jogadores de futsal, com consequente melhora da velocidade e na capacidade de realizar ações intermitentes em alta intensidade.","2019","2020-05-20 00:53:24","2020-05-20 00:53:24",NA,"1-10",NA,"","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"c8h",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=141528649&site=ehost-live&scope=site","Adult; Soccer; Athletes, Professional; Human; Athletic Performance; Adolescence; Training Effect (Physiology); Professional Sports; Athletic Training; Time Factors; Sporting Events; Physical Performance; Muscle Strength -- Evaluation; Aptitude Tests; Athletic Ability -- Evaluation; Exertion -- Evaluation; Jumping -- Evaluation; Lower Extremity -- Physiology; Physical Endurance -- Evaluation; Running -- Evaluation; Squatting -- Evaluation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
