"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FZHKV4S6","journalArticle","2019","Amatria, Mario; Maneiro-Dios, Rubén; Anguera, M. Teresa","Analysis of the Success of the Spanish National Football Team in the UEFA Euro 2012. / Anàlisi de l'èxit de la Selecció Espanyola a la UEFA-Euro 2012","Apunts: Educació Física i Esports","","02148757","","","The aim of this study is to observe, describe and analyse the successful dynamics of the offensive game action of the Spanish National Football Team in the UEFA Euro 2012. For this purpose, the relationship of categorical variables was designed according to the different levels of success as objectives to reach in the game, in such a way that sheds light on success in reference to the level of offensive performance of the Spanish National Football Team in that championship. Based on the results obtained, it can be concluded that to score goals in their offensive actions, the Spanish team starts the play in the central area of the creation sector of the rival pitch and that the ball reaches the forwards, who are responsible for finalizing the attack action. It also follows that increasing the presence of intermediate successes also increases probability of achieving a goal. To achieve these levels of success, the team builds the play through the intervention of 6-7 players, making 6-10 passes during it and giving their action the maximum breadth possible through the use of changes in direction. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:04","2020-05-20 00:08:04","","85-102","","137","","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=141946075&site=ehost-live&scope=site","football; futbol; goal; gol; metodologia observacional; observational methodology; rendiment esportiu; sports performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPSS83N6","journalArticle","2019","Godoy Xixirry, Marcela; Riberto, Marcelo; Sartori Manoel, Lucas","ANALYSIS OF Y BALANCE TEST AND DORSIFLEXION LUNGE TEST IN PROFESSIONAL AND AMATEUR SOCCER PLAYERS. / ANÁLISIS DEL Y BALANCE TEST Y DORSIFLEXION LUNGE TEST EN ATLETAS DE FÚTBOL PROFESIONALES Y AMATEURS","Revista Brasileira de Medicina do Esporte","","15178692","","","Introduction: The ankle has the highest incidence of soccer injuries (17 to 20% of injuries), which can cause personal and professional losses for the athlete. Ankle stability is due to a number of mechanisms, such as muscle control between agonists and antagonists, proprioception, balance, and muscle strength. If there are changes in any of these mechanisms, there is an increased risk of ankle injuries. Objective: The purpose of this study was to analyze the ankle function of amateur and professional soccer players in the preseason, using Y Balance Test (YBT) and Dorsiflexion Lunge Test (DLT), observing possible functional deficits in this sample, and subsequently analyzing the relationship of results between the functional tests in this population. Methods: A total of 107 soccer players were assessed, of whom 36 were amateur and 71 professional athletes. The volunteers initially underwent history taking, followed by a 5-minute warm-up on a stationary bicycle then the YBT and DLT functional tests. Results: There was no significant difference in the DLT between dominant and non-dominant limbs in amateur and professional athletes. There was also no significant difference in the YBT between dominant and non-dominant limbs of amateur athletes, but there was a significant difference between dominant and non-dominant limbs in professional athletes. There was no correlation between the tests when the dominant and non-dominant limbs of the sample were analyzed. Conclusion: The weak relationship between the functional tests indicates that both tests are recommended for athletes in clinical practice, since they serve as tools to assess different functional deficits. Level of Evidence III - Case-control study. ABSTRACT FROM AUTHOR Introducción: El tobillo presenta la mayor incidencia de lesiones en el fútbol (17 a 20% de las lesiones), pudiendo ocasionar perjuicios personales y profesionales para el atleta. La estabilidad del tobillo se debe a una serie de mecanismos, tales como control muscular entre agonistas y antagonistas, propiocepción, equilibrio, y fuerza muscular. En caso que haya alteraciones en alguno de esos mecanismos, hay mayor riesgo de lesiones en el tobillo. El objetivo del presente estudio consistía en analizar la función del tobillo de atletas de fútbol, de las categorías amateur y profesional, en el período de pretemporada, utilizando los tests Y Balance Test (YBT) y Dorsiflexion Lunge Test (DLT), observando posibles déficits funcionales en esa muestra y, posteriormente, analizar la relación de los resultados entre los tests funcionales en esa población. Métodos: Se evaluaron 107 atletas de fútbol, siendo 36 atletas amateurs y 71 atletas profesionales. Los voluntarios pasaron por una anamnesis inicial seguida por un precalentamiento de 5 minutos en bicicleta ergométrica y por los tests funcionales YBT y DLT. Resultados: No hubo diferencia significativa en el DLT entre los miembros dominantes y no dominantes en atletas amateurs y profesionales. Además, no hubo diferencia significativa en el YBT entre miembros dominantes y no dominantes de atletas amateurs, pero hubo diferencia significativa entre los miembros dominantes y no dominantes en atletas profesionales. No hubo correlación entre los tests cuando analizados los miembros dominantes y no dominantes de la muestra. Conclusión: La baja relación entre los tests funcionales indica que la realización de ambos es recomendada para atletas en la práctica clínica, siendo herramientas de evaluación de déficits funcionales distintos. Nivel de evidencia III; Estudio caso-control. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:05","2020-05-20 00:08:05","","490-493","","6","25","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139980568&site=ehost-live&scope=site","*ANKLE injuries; *SOCCER players; Fútbol; Futebol; Soccer; *MUSCLE strength; *DORSIFLEXION; *EQUILIBRIUM testing; Ankle; Desempenho físico funcional; Physical functional performance; Rendimiento físico funcional; Tobillo; Tornozelo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46I7VZ4U","journalArticle","2019","Wiig, A. S.; Håland, E. M.; Stålhane, M.; Hvattum, L. M.","Analyzing passing networks in association football based on the difficulty, risk, and potential of passes","International Journal of Computer Science in Sport (De Gruyter Open)","","16844769","","","This paper investigates the use of network analysis to identify key players on teams, and patterns of passing within teams, in association football. Networks are constructed based on passes made between players, and several centrality measures are investigated in combination with three different methods for evaluating individual passes. Four seasons of data from the Norwegian top division are used to identify key players and analyze matches from a selected team. The networks examined in this work have weights based on three different aspects of the passes made: their probability of being completed, the probability that the team keeps possession after the completed pass, and the probability of the pass being part of a sequence leading to a shot. The results show that using different metrics and network weights leads to the identification of key passers in different phases of play and in different positions on the pitch. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:05","2020-05-20 00:08:05","","44-68","","3","18","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=140811759&site=ehost-live&scope=site","sport; *SOCCER; CENTRALITY; network analysis; pagerank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VGY5FIA","journalArticle","2019","Bisciotti, G. N.; Chamari, K.; Cena, E.; Bisciotti, A.; Bisciotti, A.; Corsini, A.; Volpi, P.","Anterior cruciate ligament injury risk factors in football","The Journal of sports medicine and physical fitness","","1827-1928","10.23736/S0022-4707.19.09563-X","","INTRODUCTION: Anterior cruciate ligament (ACL) lesion represents one of the most dramatic injuries in a football (soccer) player's career. There are many injury risk factors related to intrinsic (non-modifiable) and/or extrinsic (modifiable) factors of ACL injury. EVIDENCE ACQUISITION: Research of the studies was conducted until September 2018 without publication data limitation or language restriction on the following databases: PubMed/MEDLINE, Scopus, ISI, EXCERPTA. EVIDENCE SYNTHESIS: To date, evidence from the literature suggests that the risk of ACL injury is multifactorial and involves biomechanical, anatomical, hormonal, and neuromuscular factors. Despite this relative complexity, the mechanisms of injury are well known and rationally classified into two categories: mechanisms of injury based on contact or on non-contact with another player, with the non-contact injury mechanisms clearly prevailing over the mechanisms of contact injury. One of the most frequent biomechanical risk factors, associated with ACL non-contact injury, is represented by the valgus knee in the pivoting and cutting movements and in the landing phase after jumping. Gender-related risk factors show female populations to have a higher predisposition to ACL injury than males However, there are still some theoretical and practical aspects that need further investigation such as; genetic risks together with the role of estrogen and progesterone receptors in female populations, and the in-vivo interaction shoe-playing surface. In particular, the genetic risk factors of ACL lesion seem to be an interesting and promising field of investigation, where considerable progress has still to be made. CONCLUSIONS: This narrative review provides an insight into the risk factors of ACL injury that could be used by practitioners for preventing injury in football (soccer).","2019","2020-05-20 00:08:06","2020-05-20 00:08:06","","1724-1738","","10","59","","","","","","","","","","English","","","","","Medline","","","","; ","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L627708013; http://dx.doi.org/10.23736/S0022-4707.19.09563-X","human; football; injury; pathophysiology; anterior cruciate ligament injury; knee injury; risk factor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"444CQ3Q2","journalArticle","2019","Booysen, Marc Jon; Gradidge, Philippe Jean-Luc; Constantinou, Demitri","Anthropometric and Motor Characteristics of South African National Level Female Soccer Players","Journal of Human Kinetics","","16405544","","","Data regarding anthropometric and motor characteristics of elite national level female soccer players are scarce. Determining these characteristics may likely assist in evaluating the specificity of current training programmes, identify players who might lack specific qualities deemed critical for the successful execution of their tactical roles, and benchmark norms for developing future playing talent. Therefore, the aims of this study were to describe anthropometric and motor characteristics of South African national level female soccer players (n = 37) and determine possible differences with regard to their playing position. The following measurements and tests were performed: anthropometry (body mass index and sum-of-skinfolds), the countermovement jump, sprints (10 m, 20 m and 40 m), upper body muscle endurance (push-ups) and the Yo-Yo Intermittent Recovery Test - level 1. One-way analysis of variance revealed few differences in the main outcome variables. Fischer Least Significant Difference (LSD) showed that strikers had a greater body mass index than midfielders and defenders (both p = 0.04) and goalkeepers were heavier than defenders (p = 0.02). Goalkeepers were slower than strikers and defenders over 10 m (p = 0.01; p = 0.03) and 20 m (p = 0.001; p = 0.01). Midfielders were slower than strikers over 20 m (p = 0.02), and with strikers and defenders over 40 m (both p = 0.04). Defenders performed better than goalkeepers in the upper body muscle endurance test (p = 0.02). In conclusion, both strikers and defenders require speed to win ball possession, which may explain their fast sprint times. However, the similarity of certain motor characteristics across playing positions may suggest that conditioning coaches train players similarly, irrespective of their tactical position. The authors suggest that South African fitness professionals, particularly at a club level, develop physical conditioning programs specific to each field position. Furthermore, fitness assessments should occur on a continuous basis and comparisons should be made with existing normative data in order to guide the development of players over the course of their careers. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:07","2020-05-20 00:08:07","","121-129","","1","66","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135775887&site=ehost-live&scope=site","*PHYSICAL training & conditioning; soccer; elite; *SOCCER tournaments; *AEROBIC exercises; *PHYSICAL fitness; *WOMEN soccer players; African; females; speed; Yo-Yo Intermittent recovery test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIUBZKVJ","journalArticle","2019","Pedretti, A.; Matta, M. O.; Werneck, F. Z.; Seabra, A. F. T.","Anthropometric characteristics, physical fitness components and technical skills, a comparison between Brazilian and Portuguese young soccer players. / Características antropométricas, componentes de la aptitud física y habilidades técnicas, una comparación entre jóvenes futbolistas brasileños y portugueses","Revista Andaluza de Medicina del Deporte","","18887546","","","Objective: Compare physical and technical performances and anthropometric characteristics between Brazilian and Portuguese young soccer players. Method: The participants were 281 Portuguese and 254 Brazilians from Under-15 and Under-17 categories. Measures were body weight and height, tests for strength, speed, agility, aerobic resistance, and a ball conduction drill as a motor skill test. Results: Comparing Portuguese and Brazilian young soccer players from the same age, the European players presented a better anthropometric profile, physical fitness and motor skill than the Brazilians. Conclusions: Our hypothesis that the regular transferences from Brazilian players to Europe could suggest similar performances between the two competitive levels was not supported by the evidences. ABSTRACT FROM AUTHOR Objetivo: Comparar los desempeños físicos y técnicos y las características antropométricas entre los jugadores de fútbol jóvenes brasileños y portugueses. Método: Los participantes fueron 281 portugueses y 254 brasileños de las categorías sub-15 y sub-17. Mide el peso corporal y la altura, prueba de fuerza, velocidad, agilidad, resistencia aeróbica y un taladro de conducción de bolas como prueba de habilidad motora. Resultados: Comparando futbolistas jóvenes portugueses y brasileños de la misma edad, los jugadores europeos presentaron un mejor perfil antropométrico, aptitud física y habilidad motora que los brasileños. Conclusiones: Nuestra hipótesis de que las transferencias regulares de jugadores brasileños a Europa podrían sugerir desempeños similares entre los dos niveles competitivos no fue apoyada por las evidencias. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:08","2020-05-20 00:08:08","","235-238","","3","12","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=138861614&site=ehost-live&scope=site","*SOCCER players; Fútbol; Futebol; Soccer; *PHYSICAL fitness; Aptidão física; Aptitud física; BRAZIL; Destreza motora; Destreza motora.; Motor skills; Physical fitness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UKIU7VS","journalArticle","2019","Pietraszewska, Jadwiga; Burdukiewicz, Anna; Zagrodna, Aleksandra; StachoŃ, Aleksandra; Andrzejewska, Justyna","ANTHROPOMETRIC PROFILE AND SERUM 25-HYDROXYVITAMIN D3 LEVELS IN ELITE SOCCER PLAYERS","South African Journal for Research in Sport, Physical Education & Recreation","","03799069","","","The objective of the study was to investigate serum vitamin D concentration in a sample of elite soccer players and to analyse the relationship between body composition and anthropometric variables and 25(OH)D3 status. Research data was collected by measuring 29 Polish Football Premier League players, native to Poland. Anthropometric and biochemical data were collected in December. Mean body height is similar to that of world elite soccer players. Trunk, lower, and upper extremity girths measured indicate a well-developed musculature. Body composition analysis identified a mean fat percentage of 18±3.0%. A high prevalence of vitamin D deficiency was observed in the sample. Mean serum 25(OH)D3 concentration for the group was 18.3±4.4ng/mL. Significant positive correlations between 25(OH)D3 and anthropometric variables characterising body musculature and skeletal size may show the indirect impact of vitamin D on the development and function of these respective systems. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:09","2020-05-20 00:08:09","","93-102","","1","41","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135810900&site=ehost-live&scope=site","Body composition; *SOCCER players; *ANTHROPOMETRY; *PHYSICAL education; *PHYSICAL fitness; *CHOLECALCIFEROL; Anthropometry; BLOOD serum analysis; F.A. Premier League; Soccer players; Vitamin D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMHUNBBX","journalArticle","2019","Leão, C.; Camões, M.; Clemente, F. M.; Nikolaidis, P. T.; Lima, R.; Bezerra, P.; Rosemann, T.; Knechtle, B.","Anthropometric profile of soccer players as a determinant of position specificity and methodological issues of body composition estimation","International Journal of Environmental Research and Public Health","","1660-4601 1661-7827","10.3390/ijerph16132386","","The aim of the present study was (a) to describe the anthropometric profile of a large group of soccer players based on different age groups and their playing positions on the field, and (b) to examine the variations of body composition among adult soccer players using diverse equations based on skinfold thickness. A total of 618 Greek soccer players who were grouped by age (i.e., 12–14, 14–16, 16–18, and 18–37 years) and playing position (i.e., goalkeeper, defender, midfielder, and forward) were evaluated for weight, height, and skinfolds. The Pařízková formula was used to estimate the percentage of body fat. Furthermore, for players who were 18 years or older the Reilly and Evans formulas was used to estimate the percentage of body fat. Independent of the age, in this large sample, goalkeepers presented higher values for weight, height and the percentage of body fat estimation as compared with other field positions. An anthropometric pattern was observed in each tactical position, namely, across a specific age of increasing maturation process (14–16 years). With the Pařízková formula, we found a mean (SD) range of variation in the percentage of body fat estimation between 4.87 ± 1.46 and 5.51 ± 1.46 as compared with the Evans formula. The same pattern of differences was found when the Reilly equation was considered. In conclusion, we observed a position specificity of anthropometric characteristics across different age categories. Additionally, the same data supported different validated equations which resulted in large differences in the final outcome estimations.","2019","2020-05-20 00:08:10","2020-05-20 00:08:10","","","","13","16","","","","","","","","","","English","","","","","Embase Medline","","","","; ","http://dx.doi.org/10.3390/ijerph16132386; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2002230292","adult; human; article; soccer player; controlled study; adolescent; height; anthropometry; body fat; groups by age; maturation; skinfold thickness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66YDATGG","journalArticle","2019","de Oliveira, D. C. X.; Rosa, F. T.; Simões-Ambrósio, L.; Jordao, A. A.; Deminice, R.","Antioxidant vitamin supplementation prevents oxidative stress but does not enhance performance in young football athletes","Nutrition","","1873-1244 0899-9007","10.1016/j.nut.2019.01.007","","Objectives: The aim of this study was to verify the effects of supplementation with antioxidants (vitamins C and E) on oxidative stress, delayed-onset muscle soreness (DOMS), and performance in football players during a recovery period after an exercise-induced oxidative stress protocol. Methods: Twenty-one football athletes were randomly assigned to two groups: placebo and antioxidant-supplemented. Supplementation was performed in a double-blind, controlled manner using vitamin C (500 mg/d) and E (400 UI/d) for 15 d. After 7 d of supplementation, athletes were submitted to an exercise-induced oxidative stress protocol consisting of plyometric jumping and strength resistance sets to exhaustion. Blood samples, performance tests, and DOMS were determined before and 24, 48, and 72 h after exercise. Results: Antioxidant supplementation was continued during the recuperation week and for a total of 15 d. Antioxidant supplementation caused a significant increase in plasma vitamins C and E. The antioxidant supplementation could inhibit oxidative stress characterized by elevated lipid peroxidation markers malondialdehyde and total lipid peroxidation as well as reduced ratio of glutathione to oxidized glutathione promoted by exercise. Antioxidant supplementation, however, did not significantly reduce the plasma creatine kinesis concentration or DOMS during the recovery days. Likewise, supplementation with vitamin C and E did not improve lower body power, agility, or anaerobic power, nor did it provide any indication of faster muscle recovery. Conclusion: Antioxidant supplementation does not attenuate elevated markers of muscle damage or muscle soreness promoted by acute exercise and do not exert any ergogenic effect on football performance of young athletes, although it reduced oxidative stress.","2019","2020-05-20 00:08:10","2020-05-20 00:08:10","","29-35","","","63-64","","","","","","","","","","English","","","","","Embase Medline","","","","; ","http://dx.doi.org/10.1016/j.nut.2019.01.007; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001733918","adult; football player; human; human experiment; male; article; football; exercise; priority journal; controlled study; young adult; blood sampling; randomized controlled trial; resistance training; agility; normal human; athletic performance; alpha tocopherol; antioxidant; ascorbic acid; creatine kinase; creatine kinase blood level; delayed onset muscle soreness; double blind procedure; exhaustion; glutathione; glutathione disulfide; jumping; lipid peroxidation; malonaldehyde; muscle disease; muscle injury; oxidative stress; plyometrics; vitamin supplementation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4EGUJWN","journalArticle","2019","Yiangou, K.; Malhotra, A.; Papadakis, M.; Esteban Tome, M. T.; Sharma, S.","Aortic root dimensions in adolescent athletes","European Heart Journal Cardiovascular Imaging","","2047-2412","10.1093/ehjci/jey273","","Introduction Regular physical exercise is associated with a magnitude of positive effects on health whereas at the same time is responsible for structural, electrical and functional changes in the heart, a condition termed 'athletes heart'. It has been hypothesized that the hemodynamic load during exercise may also lead to aortic remodeling. The rest of the cardiac adaptations induced by athletic conditioning have been the subject of numerous studies, but investigations of the aorta in athletes have been limited and is rather vague whether the hemodynamic overload during chronic exercise training affects aortic root dimensions, or at least to the extent that the rest of the cardiac chambers are affected. Adolescent athletes (14 to 17 years old) comprise the largest cohort of exercise individuals throughout the world. At the same time they are the most vulnerable subgroup of athletes to exercise-related sudden cardiac death. Methods 1035 individuals, males and females were included in the study. These individuals were footballers, scholars, and trained from 7 to 11 years. Transthoracic echocardiography was performed by either a trained sonographer or a cardiologist. All views obtained and measurements performed were according to the protocols specified by the British Society of Echocardiography, the European Association of Cardiovascular Imaging and the American Society of Echocardiography. With regards to aortic dimensions, images were obtained from a parasternal long axis view and measurements were performed from two-dimensional images. The aortic root diameters were measured in 2-dimensional mode at two levels (ie the sinuses of Valsalva and the ascending aorta). Results Male footballers were 945 (91.31%) while female footballers were 90 (8.69%). The mean value and the standard deviation of the age, the morphologic parameters, the aortic root diameters and two basic left heart dimensions (left ventricular end diastolic diameter and left atrium size) are presented in table 1. The mean values of age, height, weight, BMI, BSA were significantly lower in females than in males. The mean values of the two aortic diameters as well as the LA volume and LV end diastolic diameter were also greater in males than in females. There was statistically significant difference in all the parameters. Nomograms allowing determination of the Z score for the aortic diameters as a function of gender and BSA, at the level of the sinuses of Valsalva and at the level of the ascending aorta were plotted. Conclusion: We have proposed a new tool for the recognition of aortic root dilatation in adolescent athletes from 14 to 17 years old. It can be used at the levels of the sinuses of Valsalva and the ascending aorta. Nomograms for these diameters are of utmost importance for diagnostic purposes, for the differentiation of normal growth from pathologic aortic dilatation and for decision making including the determination of the optimal time for surgical intervention (Figure Presented) .","2019","2020-05-20 00:08:12","2020-05-20 00:08:12","","i1026","","","20","","","","","","","","","","English","","","","","Embase","","","","; ","http://dx.doi.org/10.1093/ehjci/jey273; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L630841677","conference abstract; female; football player; human; male; exercise; controlled study; major clinical study; adolescent; body mass; cohort analysis; gender; nomogram; decision making; sudden cardiac death; transthoracic echocardiography; aortic root; aortic sinus; artery dilatation; ascending aorta; cardiologist; heart left atrium; heart left ventricle enddiastolic diameter; hemodynamics; sonographer; structure activity relation; surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPMDL4TM","journalArticle","2019","Xie, Y.; Cai, X.","Application analysis of micro video resources in football teaching","Basic and Clinical Pharmacology and Toxicology","","1742-7843","","","Objectives: With the continuous development and progress of the times and society, all kinds of science and technology have been upgraded. Therefore, under such circumstances, all kinds of science and technology have been promoted to be widely applied in all fields, and eventually to be widely popularized. Under this background, in the field of education in our country, with the in-depth popularization of Internet information technology, the era of multimedia education has thus emerged. Micro-video transmits information to the outside world through multimedia methods such as images, animations and pictures. Due to its short, precise and fast characteristics, micro-video is more suitable for people's needs in the current fast pace of life. Under such circumstances, this technology has been widely and effectively applied in the field of education. On the basis of in-depth reform of the education system, the teaching mode of micro-class video has also been applied to school physical education. Methods: Students can also feedback their knowledge to teachers through micro-videos. In this case, teachers can give targeted guidance to students' actions. Such as WeChat video, which is widely used at present, after-class exercises can effectively improve the training level of students, and correct and efficient learning guidance for students through micro video can not only improve the training level of students, but also increase the affection between teachers and students. Results: For this reason, this paper first makes an in-depth analysis of the advantages of micro-video resources teaching, and then makes a detailed exploration of the application of micro-video resources in football classroom teaching and technical teaching on this basis, hoping to lay a foundation for the continuous improvement of football teaching effectiveness and quality, the improvement of students' learning enthusiasm and the long-term development of football. Conclusions: In general, the reasonable application of micro-video resources to sports football teaching can enrich the teaching content of sports courses, which plays a positive and auxiliary role in both theoretical teaching and practical teaching. This teaching method can more effectively stimulate students' interest in learning sports football, improve students' learning ability, reduce teachers' teaching pressure to varying degrees, and improve teachers' teaching effect and quality. It is a scientific and technological teaching method used by non-value educators.","2019","2020-05-20 00:08:13","2020-05-20 00:08:13","","68-69","","SUPPL, 9","125","","","","","","","","","","English","","","","","Embase","","","","","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L631567213","conference abstract; human; human experiment; theoretical study; football; exercise; sport; learning; multimedia; teacher; teaching; videorecording","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVJI455T","journalArticle","2019","Wright, Matthew David; Innerd, Alison","Application and interpretation of the yo-yo intermittent recovery test to the long-term physical development of girls association football players","Science & Medicine in Football","","24734446","","","We aimed to evaluate short- and long-term yo-yo intermittent recovery test, level 1 (YYIRL1) performance in girls football players. Mixed-linear modelling was used to determine within-season changes in YYIRL1 performance and between- and within-player variation over four years, at four time points (July, September, December and May) in 86 players (459 observations), mean age 13 ± standard deviation 1.8 years, 0.9 ± 1.5 years from peak height velocity. Twenty-three players, tested over three consecutive years were retained for further analysis. Magnitude-based inferences were used to quantify annual change in performance on a group and individual level. Within-player correlations were used to determine the association between YYIRL1 and maturation. 'Very likely' small (14, ±90% confidence interval 8.1–20%) improvements were observed between July and September and 'possibly' trivial (5.5, 0.41–11%) differences between September and May. Within-player variation throughout the in-season period, representing the typical error of the estimate was 23%, 22–25% and between-player, 38, 33–44%. We observed 'most likely' moderate improvements (32, 17–49%) over three years that were moderately associated with changes in maturation (r = 0.46, 0.13 to 0.70). A minimum change of ≥44% is required to detect 'likely' improvements in YYIRL1 performance on an individual basis. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:14","2020-05-20 00:08:14","","297-306","","4","3","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139364531&site=ehost-live&scope=site","female; Aerobic fitness; LTAD; reliability; youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RW4D8M73","journalArticle","2019","Cuthbert, M.; Thomas, C.; DosʼSantos, T.; Jones, P. A.","Application of Change of Direction Deficit to Evaluate Cutting Ability","Journal of strength and conditioning research","","1533-4287","10.1519/JSC.0000000000002346","","Cuthbert, M, Thomas, C, Dos'Santos, T, and Jones, PA. Application of change of direction deficit to evaluate cutting ability. J Strength Cond Res 33(8): 2138-2144, 2019-The purpose of this study was to examine the application of the change of direction deficit (CODD) to a 90° cut test to examine whether CODD provides a unique evaluation of an individual's cutting ability. Thirty-six male collegiate team-sport (23 Rugby/13 Soccer) athletes (age: 20 ± 1.4 years; height: 1.80 ± 0.08 m; mass: 83 ± 13.2 kg) participated in the study. Each athlete performed 3 trials of a 20-m sprint (with 5 and 10 m splits) and 2 change of direction (COD) tests (90° cut and 505 tests) cutting/turning from both legs. Completion times for all sprint and COD tests were measured using timing cells. For both COD tests, CODD was determined (COD completion time-10 m sprint time). Pearson correlation was used to explore the relationships between sprint times and CODD and completion times. Significant (p < 0.001) moderate-to-large (r ≥ 0.467) correlations between sprint times and 90° cut completion times for left and right cuts were observed. Nonsignificant (p > 0.05) trivial-to-small correlations (r ≤ 0.199) were found between sprint variables and 90° cut CODD. Significant (p < 0.001) large to very large correlations (r ≥ 0.531) were revealed between the left and right 90° cut and 90° cut CODD. The results suggest that the CODD could be applied to isolate and assess the cutting ability in COD speed tests that involve a single cutting maneuver. Failure to inspect CODD could lead to incorrect evaluation of an athletes cutting or COD ability.","2019","2020-05-20 00:08:15","2020-05-20 00:08:15","","2138-2144","","8","33","","","","","","","","","","English","","","","","Medline","","","","; ","http://dx.doi.org/10.1519/JSC.0000000000002346; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628924775","human; male; football; soccer; adolescent; athlete; young adult; physiology; cross-sectional study; procedures; exercise test; athletic performance; physical examination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
